artist_name,track_name,track_id,danceability,energy,acousticness,loudness,tempo,speechiness,era
Little Mix,Wings,4awRNvd5iC7QGVQOwSCffw,0.738,0.875,0.000673,-3.141,114.962,0.127,10s
Faith Evans,Love Like This,7MQywXGHEev7JmwwIzMcao,0.767,0.551,0.00364,-7.328,100.904,0.0616,90s
Chris Brown,Liquor,5u7o3wXWJI7AN1b9KIf3m8,0.686,0.342,0.0212,-8.555,104.995,0.0447,10s
SWV,I'm So Into You,5A0aUvnfAEcmUx3hoXjI8R,0.85,0.513,0.0624,-10.663,99.01,0.0513,90s
Silk,Freak Me,5CdJveJgiGXoGwDFqF6afp,0.697,0.608,0.0295,-10.976,133.879,0.0463,90s
Miguel,Quickie,4isk4UYRcmslphcTq61xUg,0.372,0.642,0.216,-4.819,67.839,0.148,10s
Shai,If I Ever Fall In Love,1jCsCYgzQQHk3bDJDuFbNi,0.525,0.221,0.779,-11.233,36.71,0.0317,90s
DJ Khaled,Shining (feat. Beyoncé & Jay-Z),7Fa5UNizycSms5jP3SQD3F,0.768,0.807,0.053,-5.508,112.001,0.106,10s
Tori Kelly,Hollow,160hN2OsDXnmgExwtG7cvD,0.61,0.664,0.0187,-6.838,126.085,0.0372,10s
Jason Derulo,Get Ugly,1dl3vuXJS9anUXE7XnNP75,0.75,0.683,0.0462,-4.829,111.066,0.12,10s
Christina Aguilera,What a Girl Wants,5bGmuxShUba9maPswDnhCs,0.754,0.819,0.0684,-6.833,142.137,0.112,90s
Eric Benét,Spend My Life With You,58s4iqgXFzXhBndBkg2AaD,0.583,0.435,0.434,-8.784,72.01,0.0386,90s
B.o.B,Strange Clouds (feat. Lil Wayne),0yQw3d0iQDjMrxaVHFv77J,0.531,0.665,0.0607,-6.672,73.726,0.286,10s
Xscape,Just Kickin' It,51RvCRzeTqoQgdOBgcpHtT,0.694,0.365,0.054,-12.294,80.904,0.0635,90s
Rita Ora,I Will Never Let You Down,2ia7iiEtpiOL2ZVuWxBZGB,0.753,0.801,0.403,-3.215,128.011,0.0296,10s
Rihanna,Russian Roulette,3rMsX63C0IZVnOT5LGYoTH,0.48,0.486,0.046,-5.754,80.051,0.0447,10s
Mariah Carey,My All,3RSpK5Y0y5tl25qvssrwJ6,0.4,0.317,0.732,-10.249,107.845,0.0317,90s
Trey Songz,Can't Be Friends,0H6fDB7YaMZe1rXCmATx9l,0.451,0.588,0.0643,-7.973,171.849,0.2,10s
Nick Jonas,Levels,6pf9datdAtxQj4EU8UYHSx,0.432,0.656,0.0488,-4.669,199.232,0.428,10s
Case,Faded Pictures,1CAw3ethNuSDPf3E7luSFF,0.64,0.527,0.145,-7.683,164.029,0.286,90s
Babyface,Every Time I Close My Eyes,2ezqQeBiC72gwMJoO4w1hA,0.655,0.417,0.0624,-7.702,143.674,0.025,90s
Fergie,M.I.L.F. $,3osQ5lSSqZb8HWRozdbVPw,0.773,0.706,0.00538,-5.709,160.912,0.0999,10s
Usher,Scream,12eMQUn2GzfsfsQLH53M19,0.616,0.862,0.00117,-5.18,127.992,0.0973,10s
Jodeci,Freek'n You,43sNw9nvGYGLYnNiwI8oMZ,0.709,0.521,0.0792,-9.497,134.165,0.0314,90s
Whitney Houston,It's Not Right But It's Okay,7861kBrZ5aw7o4NfggcyYW,0.806,0.802,0.162,-7.076,127.931,0.102,90s
T-Pain,Booty Wurk (One Cheek At a Time),6QgkOxBXqVRjZ1JcIDbDYY,0.786,0.689,0.00931,-6.113,157.935,0.315,10s
Boyz II Men,Motownphilly - Original Version,4wDSLkTUIpRsn3UbCzW9wV,0.756,0.858,0.0171,-9.649,114.144,0.0682,90s
Trey Songz,I Invented Sex (feat. Drake),1Ug1mV9h5qVSs4rvvnQWux,0.69,0.76,0.0678,-4.778,89.958,0.0587,10s
Mint Condition,What Kind Of Man Would I Be,5qR3pYQIC10S7aD2YBjgui,0.651,0.498,0.39,-8.868,109.906,0.0318,90s
Whitney Houston,Greatest Love of All,6yJxCltgtmGxIgKOS6ndnu,0.502,0.305,0.484,-16.011,131.242,0.0339,10s
Britney Spears,I Wanna Go,5cCAZS9VhLGEDV4NCfieeg,0.696,0.546,0.00379,-6.55,130.002,0.0414,10s
Britney Spears,(You Drive Me) Crazy,1DSJNBNhGZCigg9ll5VeZv,0.748,0.939,0.0534,-4.288,104.001,0.0341,90s
En Vogue,Don't Let Go (Love),06TuMCjDEYjTOJScCRzmjf,0.618,0.688,0.409,-5.867,78.311,0.0477,90s
Charli XCX,Boom Clap,0Y1MWB026LYxGvhq4EcMiC,0.659,0.911,0.154,-2.28,91.999,0.0786,10s
Wale,MY PYT,4jK1VQQGDnNOLfyVXCxGsR,0.563,0.414,0.0298,-11.409,193.549,0.37,10s
LL Cool J,Doin' It,4WMBl2wiGUSGa5C7tfQEAo,0.804,0.549,0.368,-11.096,95.002,0.213,90s
Rihanna,Right Now,28OX5qT45GZBuu8CNKBOj6,0.655,0.63,0.0355,-5.16,129.877,0.0687,10s
Jodeci,Come And Talk To Me Remix,5xE7sFTlv2yrG9mmhDSpdq,0.72,0.657,0.0262,-6.823,172.168,0.295,90s
Big Sean,Play No Games,3rsOs39rDAYxIOrDTHAgR9,0.749,0.701,0.0734,-3.914,81.479,0.0513,10s
Toro y Moi,Girl Like You,6TFUZ8Bt1brEwomY90SKXi,0.629,0.823,0.35,-5.744,169.961,0.0597,10s
Britney Spears,Criminal,6T689Jvh5KrSXyaPtUWZtQ,0.696,0.734,0.0485,-5.294,107.987,0.0298,10s
B.o.B,We Still In This Bitch (feat. T.I. and Juicy J),63ZKUKbwb6Zozlk8LJCiPB,0.691,0.793,0.0131,-3.506,140.011,0.131,10s
Total,Kissin' You,1e5DTpM1WeggytDXbphivX,0.746,0.493,0.302,-9.427,82.04,0.0997,90s
Trey Songz,Dive In,43hHjvaO9brl5t7ywedeyx,0.587,0.648,0.0279,-6.954,119.888,0.089,10s
Usher,Hey Daddy (Daddy's Home),030OCtLMrljNhp8OWHBWW3,0.59,0.698,0.000176,-4.262,95.975,0.0286,10s
Tevin Campbell,I'm Ready,1eGY6roK1W2vFIhDXu2lXq,0.684,0.687,0.0631,-6.393,91.201,0.0228,90s
LSG,My Body,6PyLw3l6ndolBrTPQp3Ibm,0.721,0.431,0.244,-6.633,119.76,0.045,90s
Doja Cat,Candy,1VJwtWR6z7SpZRwipI12be,0.689,0.516,0.513,-5.857,124.876,0.0444,10s
TLC,Unpretty,0BUoLE4o9eVahDHvTqak67,0.648,0.622,0.00152,-6.063,88.684,0.0428,90s
Monica,Don't Take It Personal (Just One of Dem Days),0JCAezTC5IlK1a9o0YBEsD,0.731,0.355,0.00864,-12.741,175.72,0.0603,90s
Alicia Keys,Try Sleeping with a Broken Heart,1yK9LISg5uBOOW5bT2Wm0i,0.496,0.82,0.158,-5.155,110.977,0.112,10s
